            C,W            G,C            G,W                      MSE                     RMSE                      MAE                     MAPE                       R2                    SMAPE
  37.2507533419   0.5298493745  12.5356517625             1.1118114027             0.6800797831             0.4776005769            3152222694200              0.858551714              39.12845449
  24.2469905438   5.2028444622  -7.1429392337            0.90073336135            0.81663532618            0.60662684255           59580767464000            0.63700128673              55.63862945
  31.7988446312  14.0892258988   6.1334018509            0.83993335789            0.56263227644            0.40182329107            3987842870500            0.89422320668             29.544884251
  22.3884302481   6.8541542245  -8.4214341391             1.3173386105            0.98704457403            0.75846822073          146188661420000            0.44716248252             61.975949323
  45.7154361123  -6.3864873912  -5.5668766633            0.97466158032             0.6594023021            0.45798830856            3502145927000            0.87352352585             39.547925725
  28.9301721087  15.4450585812  19.2470816635             1.0960768295            0.65244832989            0.45946332061            3280421047700            0.86386358628             34.050928496
  41.0287178622   7.7559575265  -9.2555843508            0.72951415591            0.55069847224            0.38958228807            4150130331500            0.89967881943             31.537179807
  44.9266362733  21.3671726542  19.7489978299             1.4520550982             0.7997530368             0.5575268414            2358266982800            0.78463188714             42.199490102
  46.6917259857  -8.4419854747  -7.0196233783            0.96542543902            0.66003668182            0.45765477389            3503020006700            0.87314556378             39.773416525
  38.9555695124  21.2340909735   0.7681104054            0.72509186206             0.5978512504            0.43597704785            9191239218800            0.85663368324             41.771260697
  51.2969256403 -11.0179844049   0.8797013925             1.1723480791            0.74281466958            0.50907181862            3072098723400            0.83329974929             41.692822098
  29.9809030451  20.4482153840 -14.8996079699            0.69443255268            0.68126918103            0.52737209626          232129341210000            0.67799321238             56.762248985
  25.2276210359 -12.6215554783   7.1305491388            0.73108580039            0.55252441376            0.38397552336            4715951245700            0.89769140177             35.938013678
  40.6885513574   7.5983754485 -11.0107091060            0.64203368475             0.5007647381            0.36207212315            4685649816800            0.91050904573             30.916482161
  17.2423613293  14.6368272255 -11.6020266254             4.4675945053             1.6574336865             1.4136337522          896930164690000          0.0497793906746             66.918681228
  19.4418596686  -6.5681029282 -10.5892712397            0.95553545805            0.84504996425            0.63592266966           90328268446000             0.5858887595             59.096374982
  25.3500626460 -11.2596368839  -8.5233740380            0.43609386722            0.37368612004            0.27727952134            7611485873100            0.94053440272             27.870814682
  23.3596427433  25.3899470995  -5.9770812106            0.92516193464            0.75643890548            0.59132395274          265584741060000            0.60473493332             57.886898528
  40.8343646537   0.2775790302 -11.4866433837            0.75937507408            0.57443706509            0.39936639811            4102347308800            0.90077674077             35.327641698
  23.5795070302   7.3931952202 -10.4010755042             1.3019298511            0.97963697721            0.75935128206          167059936070000            0.45319660595             61.909099694
  19.6543319309   6.7787018215  13.3857350480            0.71989967884            0.46509809273             0.3477947978            5967633350800            0.91757791089             29.144377434
  41.4738711476  12.4142083212  11.6582404001             1.2418788733            0.74144071829            0.51581374153            2768210353800             0.8280205711             40.697210904
  15.8866859923  17.7153791922  -4.3322068405             4.4151608517             1.6463020582             1.4074665085          890596874680000           0.065992543203             66.704505547
  27.6143059967   4.9035170678  -7.6369820325            0.65443011736            0.67020919995            0.48920637955           22180063297000            0.78094310369             46.751274143
  34.6241514849  -7.4727668010  18.4025843401              1.122843168            0.69566640865            0.48220557977            3272554330400             0.8413086248             39.374868739
  25.0808229250  22.3501744864 -13.4776388941            2.41632008219            1.15717855515            0.96931167567          514905190120000           0.348343533526             62.413406113
  16.9566960651   2.5604292428 -12.1700605568               3.19921807             1.4496561823             1.2022732143          552440211200000           0.065800406457             66.513789719
  48.5251341265  22.5166512008   5.9780270867             1.2051869926            0.73197881776            0.51270805892            2748689240900            0.81412369134             40.554025664
  25.3626744073  12.0335775304 -14.4379353910            1.12691789738            0.88761560948             0.7052664788          249670372300000             0.5144110951             60.797507465
  50.2806214644  -7.6905807349  -4.2008916155             1.0842342934            0.70451229451             0.4859751407            3239047942500            0.85461576565             41.033746893
  42.1777127602  -1.8910963113  14.7399822502             1.2330453411            0.72972849186            0.50877185629            2885628391100             0.8353091772             40.608721346
  29.8104824331   0.6721208420  23.1501195503             1.1264957583            0.66383755131             0.4677034582            3307808877600            0.85709553278             37.336630436
  32.2448329360  13.9792855447 -15.1639380715            1.00430469635            0.86505757954            0.66811801219          164504127080000            0.55612312157             60.451944473
  28.1375752563   4.0951598729 -10.6799968950            0.73680819237            0.73122727745            0.53523889304           34000825560000            0.72010227426             49.870031028
  53.3684690544  14.1163240674   6.6237979864             1.3762289495            0.80139258841            0.55391564236            2505695089100             0.7905912128             43.352331264
  16.8959537430  -6.9655280203 -10.6611544804             1.3990161988             1.0120487961            0.79192105552          188107483470000            0.41437431308             62.439396051
  16.5100187722  14.3272617123   4.4038223485             1.3586436668            0.99949348534            0.77106747751          152001582670000            0.45256528189             61.872546201
  17.7714576959  24.2977287422  -9.1709990536             4.2597589736              1.617895029             1.3749089046          862456170650000           0.058325953589             66.822779536
  46.3111953170  16.5327107676   5.5781122562             1.2065761501            0.74231786016            0.51461171085            2758595477100            0.81784851045             41.367064779
  50.9485704814  -5.5101953785   8.2901615226             1.2901803891            0.76610057868            0.52887274538            2757138677900            0.82135980605             42.065518449
  25.0632805725  12.0240125621   4.0949184567            0.63953554763            0.56615309123            0.41983194396            9828151948200            0.87059341525             40.976645601
  36.3846097434   7.6883565949   9.3714737260             1.0677545834            0.66809817613            0.46701162707            3299942160400            0.86425778696             37.907490658
  15.0130547538  -2.1108024108  10.4688095166             0.5615319572            0.44538658153            0.33820410153            9380331790400            0.92173772927              32.21477431
  19.6069203474  -1.0221840342   4.8871162040            0.54891637729            0.42251198619            0.31957033991            8244028203500            0.92633090621             31.301808619
  19.1301643304  15.7883416865  17.4223424754            0.78879651366            0.50364876081            0.37692457923            5541373825700            0.90560609741              31.53662526
  27.5474737354  17.4854548495  14.9928167657            0.95045516741            0.59384925507            0.42209559989            3723579446600            0.88220855418             29.474454299
  28.0877068150 -13.6533945573   6.2650145346            0.78330653565            0.58481029622            0.40480311684            4348837779400            0.88716462483              37.20975107
  25.0450111239 -12.9371779183  20.6883545375            0.96783815395            0.65876758077            0.45131610423            4303968355400            0.84631090799             38.297195918
  39.8116845549   9.2802747678  -9.9317218646            0.60144613925            0.47934517901            0.35115941157            5329263822700            0.91024749912             32.944571568
  23.1525027404   9.4426817308  -5.4532376514             1.1175889597             0.9116204473            0.69018609371          106894409313000            0.53491005046             60.405567956
  28.5476070164  21.8523309332 -14.9919431991            0.56222624371            0.59945899665             0.4645505365          261868736970000            0.73374738002             55.224292491
  49.9029607831  -1.2248733237 -14.7215456054            0.93486547226             0.6687755676            0.45843552721            3542936312300            0.86726570928             39.974207436
  16.4436056328  -6.7600060613   5.3623530500            0.49210565199            0.41423419317            0.31269697352            9059835906700            0.92846408423             30.472389719
  54.7596791006  -9.7960739611   5.2673543647             1.2984873502            0.78173677477            0.53427758082            2760926356500            0.81293455986             42.434466667
  39.5663632436  12.9323191674  -8.9920390808            0.62429724964            0.59474227531            0.43288063891           12147376703900            0.84789827322              43.89266833
  27.0708120218  10.7773970064 -11.3593189553               1.08824648            0.89872696166            0.69508162157          160555326430000            0.53147826433             60.762630939
  41.5243716298  24.5837923109  20.5459445359             1.4027926631            0.78188129838            0.54524928039            2428484717100            0.78950756937             41.376422645
  25.4340784872  14.2131759444  -2.5408866648            0.94960269646            0.83858267633            0.63049887346           83586491857000            0.61890419336             58.562512274
  48.1227560635   9.3857855071   1.7505654331             1.1931526874            0.74488742029            0.51424822122            2844255286000            0.82707068215             41.608883134
  28.1837823989   5.8793839368  19.0570916412             1.0450661927            0.62689551626            0.44455112674            3565662383900            0.87570598885             34.711062849
  27.7817625831  -8.1817841784  20.4000550641             1.0217418397            0.65521777659             0.4518946453            3773693348200            0.85552849713             37.711121442
