====================================================================================================================================
particle                             MSE                RMSE                 MAE                MAPE                  R2               SMAPE
--------------------------------------------------------------------------------------------------------------------------------------------
type:N                   0.0007373319749       0.02715385746       0.01783479833     2.592443212e+12        0.9870590469         44.95729756
type:P                     0.01879358826        0.1370897088       0.07361819443     6.957548876e+10        0.9310571885         28.11945217
type:G                      0.1483596576        0.3851748403        0.2198703679        0.3300009868        0.9344165872         26.30669183
type:C                      0.3958040678        0.6291296113        0.3344753241        0.3950201158        0.9730029577         33.82695099
type:L                     0.06980486739        0.2642061078        0.1538827046        0.2879249633        0.9059754966         20.67704264
type:W                       4.881545877         2.209422069         1.754480383        0.5519915547        0.5978899152         47.16163299
name:P1                    0.01342402599         0.115862099       0.06059884592     1.270508925e+11         0.802198854          31.6212546
name:P2                    0.00304582169       0.05518896348       0.02882719406     5.747540376e+10        0.9593141705         29.34389111
name:L1                     0.0072418412       0.08509900822       0.04318362302        2.420017e+10        0.9094163663         24.57959174
name:G1                    0.01551611251        0.1245636886       0.06673134531          3025021251        0.7780128578         32.04782472
name:G2                    0.01232063279        0.1109983459       0.05756933451          3025021251        0.8470156103          28.0772329
name:G3                    0.01812777333        0.1346394197       0.07085016418          3025021251        0.7669813884         27.00895626
name:L2                    0.02126469685        0.1458241984       0.07942790469          6050042501        0.6753972876         32.46151503
name:C1                    0.02177198339        0.1475533239       0.08431369947        0.5056318204         0.635664346         39.17069672
name:C2                    0.02226485525        0.1492141255       0.08638797354        0.5411654455        0.5817546894         40.79917393
name:C3                    0.01158043636        0.1076124359       0.05566158678        0.3253648228        0.8426398741         27.20538066
name:C4                    0.01153098301        0.1073824148       0.05754371372        0.3167220545        0.8392559478          26.8840296
name:C5                   0.003094990388        0.0556326378       0.03110528148        0.3384231591        0.9695173333         30.01370953
name:C6                     0.0136405011        0.1167925558       0.06318744411         0.318309122        0.8126273577         25.76625504
name:C7                     0.0203267964        0.1425720744       0.06837037549         0.348976757        0.7423426596         28.54435858
name:C8                    0.01056075287        0.1027655238       0.04150627384        0.3281505576        0.9294834309         25.76444269
name:L3                   0.009514934916       0.09754452786       0.05023488666          3025021251        0.8811566729         28.16721364
name:G4                   0.006581166364       0.08112438822       0.04014758434          9075063752        0.9181225148         29.75549341
name:G5                   0.006354116897       0.07971271478       0.04018042543          6050042501        0.9154790088          27.2591301
name:G6                   0.007384633439       0.08593388993       0.04549378099        0.3200213655        0.9007489124         25.49000358
name:C9                     0.0185436014        0.1361748927       0.07297676871        0.4070408965        0.7303313527         34.82751085
name:C10                   0.01960333486        0.1400119097       0.07765239386        0.4557296869        0.7077671377         39.57017299
name:C11                   0.01483055553        0.1217807683       0.06104055873        0.4542701448        0.8476538695         40.55470519
name:C12                  0.009103342489       0.09541143794         0.050662867        0.2856253608        0.8713509458         23.05219761
name:C13                   0.01364464168        0.1168102807       0.05236562385        0.2646725825        0.8456351546         21.46784346
name:C14                 0.0008217235488        0.0286657208       0.01268467585        0.2653233698        0.9948696357         23.42009671
name:L4                   0.003434789129       0.05860707405       0.02988974245        0.2484007127        0.9526969294         19.18425581
name:C15                  0.006875913908       0.08292113065       0.04366992157        0.2613360332        0.9048469716         14.28761611
name:C16                   0.01148384544        0.1071627055       0.05059918862         0.451484704        0.8827679695         12.85706774
name:N                   0.0007373319749       0.02715385746       0.01783479833     2.592443212e+12        0.9870590469         44.95729756
name:W                       4.881545877         2.209422069         1.754480383        0.5519915547        0.5978899152         47.16163299
lipid:LA6                   0.3294112125        0.5739435621        0.3506748602        0.2686439855         0.986227008         22.21167781
solvent                      4.881545877         2.209422069         1.754480383        0.5519915547        0.5978899152         47.16163299
all                          4.251038796         2.061804742         1.766996699        0.1849675765       -0.3247763264         9.559583181
ions                     0.0007373319749       0.02715385746       0.01783479833     2.592443212e+12        0.9870590469         44.95729756
total                       0.9191742317        0.6086960324        0.4256936288     4.436697834e+11         0.888233532         33.50817803
============================================================================================================================================
